Close,Open,High,Low,Volume,Change %
156.3,159.3,159.4,156.1,79150000.0,-2.56
160.4,158.2,160.7,158.1,173910000.0,1.07
158.7,158.8,159.2,158.0,138140000.0,-0.63
159.7,158.7,160.2,158.4,126280000.0,1.14
157.9,159.3,159.6,157.9,155080000.0,-0.13
158.1,157.0,159.0,156.8,190620000.0,-0.25
158.5,160.0,160.4,158.4,168570000.0,-1.37
160.7,161.6,161.7,159.8,165790000.0,0.5
159.9,159.5,159.9,157.9,136120000.0,0.57
159.0,160.1,160.9,158.7,166570000.0,-1.12
160.8,159.1,161.2,158.6,202730000.0,0.69
159.7,157.5,159.9,157.4,181480000.0,1.59
157.2,159.5,159.9,156.3,182230000.0,-0.95
158.7,158.9,160.5,158.5,250560000.0,-0.5
159.5,159.0,160.3,158.4,228260000.0,0.76
158.3,156.2,158.3,155.7,226570000.0,1.15
156.5,154.3,157.0,153.5,214950000.0,1.43
154.3,155.0,155.3,152.9,250580000.0,-1.03
155.9,157.5,157.6,155.7,199500000.0,-1.08
157.6,159.0,159.1,157.2,220240000.0,-0.57
158.5,157.0,158.5,156.7,262910000.00000003,1.47
156.2,157.0,157.1,155.3,258890000.0,0.0
156.2,154.1,156.4,153.2,285900000.0,2.9
151.8,151.9,153.5,151.6,243810000.0,0.33
151.3,150.4,151.3,149.7,210600000.0,0.0
151.3,151.0,151.4,149.3,211790000.0,0.27
150.9,149.4,150.9,148.6,210780000.0,1.0
149.4,148.0,149.5,147.5,213450000.0,1.63
147.0,146.0,148.6,146.0,244110000.0,0.68
146.0,145.7,146.6,145.3,174170000.0,0.27
145.6,145.5,145.8,144.4,199450000.0,0.07
145.5,144.0,146.4,144.0,188530000.0,0.41
144.9,145.2,146.5,144.5,234210000.0,-1.09
146.5,146.0,146.9,145.4,421260000.0,-0.88
147.8,148.0,148.4,147.0,288600000.0,-0.14
148.0,149.9,150.0,147.6,362470000.0,-1.46
150.2,150.5,151.6,150.2,171470000.0,-0.66
151.2,150.4,151.4,149.5,205290000.0,0.8
150.0,150.0,150.6,150.0,260570000.0,-0.86
151.3,152.0,152.1,150.5,324090000.0,-0.79
152.5,152.6,153.0,152.0,212280000.0,-1.1
154.2,154.5,154.7,153.6,151720000.0,-0.52
155.0,155.9,156.4,154.6,156840000.0,0.45
154.3,152.0,154.7,152.0,301190000.0,1.38
152.2,151.8,153.0,151.2,170570000.0,0.13
152.0,153.6,154.4,152.0,215770000.0,-1.17
153.8,156.2,156.8,153.2,236010000.0,-1.28
155.8,153.5,155.8,152.9,217610000.0,2.1
152.6,152.0,152.8,151.4,200560000.0,-0.13
152.8,153.8,154.3,152.0,211370000.0,-1.1
154.5,154.8,156.1,153.9,220480000.0,0.85
153.2,153.0,153.3,152.3,206230000.0,0.92
151.8,152.0,154.4,151.5,357280000.0,0.0
151.8,152.0,156.5,151.6,417050000.0,-1.43
154.0,156.7,157.6,153.4,381520000.0,-1.72
156.7,158.1,159.0,156.7,322150000.0,-1.76
159.5,160.0,161.3,159.5,289390000.0,-0.44
160.2,160.1,161.6,160.0,318640000.0,-1.29
162.3,169.0,170.1,160.9,437080000.0,-3.34
167.9,168.1,169.2,167.9,130100000.0,-0.12
168.1,170.1,170.6,168.1,132530000.0,-1.0
169.8,170.5,170.8,168.8,144730000.0,-0.35
170.4,171.0,171.0,169.6,123660000.0,-0.06
170.5,170.2,171.2,169.9,87150000.0,-0.18
170.8,170.3,170.9,169.3,152800000.0,1.55
168.2,168.5,168.9,167.5,219860000.0,-0.71
169.4,170.0,171.1,169.0,164720000.0,-0.94
171.0,172.4,172.4,169.8,192820000.0,-0.23
171.4,172.3,173.4,171.0,133770000.00000001,-0.35
172.0,170.9,172.5,170.8,193570000.0,2.44
167.9,168.1,168.3,166.0,324950000.0,-1.12
169.8,169.1,170.8,169.0,179470000.0,-0.06
169.9,172.2,172.3,169.3,190920000.0,-1.45
172.4,173.1,173.5,171.7,230620000.0,-1.26
174.6,174.5,175.1,173.7,144590000.0,-0.34
175.2,175.0,175.7,174.6,135430000.0,-0.06
175.3,175.3,176.1,174.6,111470000.0,-0.17
175.6,176.8,176.8,175.1,103790000.0,-0.68
176.8,175.7,176.9,175.3,152410000.0,0.74
175.5,174.5,176.0,174.5,153480000.0,0.29
175.0,174.0,175.2,173.0,177550000.0,0.0
175.0,178.0,178.0,174.8,278400000.0,-1.3
177.3,177.0,177.8,176.2,173360000.0,-0.06
177.4,177.0,178.4,176.5,159740000.0,0.4
176.7,180.0,180.1,176.7,219680000.0,-1.72
179.8,180.1,180.8,179.4,198080000.0,-0.11
180.0,181.0,181.9,180.0,194140000.0,-2.17
184.0,184.0,184.8,183.7,190680000.0,-0.11
184.2,183.7,185.2,182.7,150800000.0,0.66
183.0,184.3,184.4,182.5,136080000.0,-0.27
183.5,181.0,184.1,180.8,234840000.0,1.83
180.2,182.1,183.0,180.0,303570000.0,-1.04
182.1,181.0,182.9,180.3,183220000.0,0.66
180.9,181.1,181.8,180.7,140510000.0,0.22
180.5,180.5,181.9,180.4,196360000.0,-0.72
181.8,180.5,182.2,180.2,119550000.0,0.66
180.6,180.9,181.6,180.0,122310000.0,-0.17
180.9,181.3,182.3,180.0,157160000.0,-0.82
182.4,185.1,185.1,180.7,174600000.0,-1.67
185.5,184.8,185.5,183.0,194970000.0,0.76
184.1,181.5,184.3,181.4,189960000.0,1.1
182.1,180.2,183.2,180.2,153550000.0,0.77
180.7,180.0,181.5,180.0,139330000.0,0.0
180.7,181.0,182.3,180.5,156420000.0,0.0
180.7,182.1,182.2,180.7,184180000.0,-0.88
182.3,183.1,183.9,182.3,140080000.0,-0.65
183.5,183.1,184.4,182.1,131490000.00000001,0.55
182.5,182.5,183.5,182.0,127590000.0,0.27
182.0,180.0,182.1,179.3,211870000.0,0.78
180.6,181.4,182.3,180.6,179050000.0,-0.77
182.0,180.7,182.6,180.7,157200000.0,0.22
181.6,183.2,183.9,181.6,154040000.0,0.17
181.3,182.1,182.6,181.3,119500000.0,-1.04
183.2,182.1,185.5,181.7,209980000.0,1.22
181.0,182.8,182.9,180.3,165040000.0,-0.17
181.3,180.1,181.9,179.9,151750000.0,0.17
181.0,182.0,182.6,179.8,153820000.0,0.11
180.8,178.3,181.9,176.8,202670000.0,0.84
179.3,184.3,184.9,179.3,277840000.0,-2.24
183.4,181.4,184.1,180.6,140670000.0,0.0
183.4,186.0,186.5,183.4,159650000.0,-1.77
186.7,189.1,189.3,186.4,127490000.0,-0.43
187.5,187.5,188.2,186.6,104500000.0,0.16
187.2,185.7,187.9,185.6,122600000.0,0.48
186.3,185.0,186.3,183.9,141460000.0,0.65
185.1,187.0,187.6,185.1,136840000.0,0.05
185.0,183.4,185.3,183.4,91500000.0,0.87
183.4,185.5,185.9,183.4,145140000.0,-1.56
186.3,186.6,188.3,186.3,101700000.0,-0.64
187.5,189.0,189.6,186.9,138930000.0,-1.21
189.8,191.9,192.9,189.7,144950000.0,-0.73
191.2,189.0,191.2,188.6,165390000.0,2.19
187.1,188.5,189.3,186.7,152760000.0,-0.64
188.3,188.0,189.3,187.7,134890000.0,0.16
188.0,187.4,191.1,186.8,244850000.0,0.64
186.8,188.0,188.4,185.6,182390000.0,0.43
186.0,181.0,186.0,181.0,208830000.0,3.1
180.4,181.4,182.8,180.0,215850000.0,-0.11
180.6,179.0,180.6,178.7,202650000.0,2.09
176.9,176.2,177.4,175.9,168390000.0,1.03
175.1,173.9,175.4,173.9,156440000.0,0.69
173.9,173.5,175.0,173.1,185150000.0,0.69
172.7,170.1,173.3,169.5,161220000.0,0.23
172.3,172.1,173.4,170.9,147770000.0,0.23
171.9,172.4,173.9,171.5,116890000.0,0.17
171.6,171.2,172.0,171.0,114350000.0,0.47
170.8,171.4,171.5,169.9,104940000.0,-0.29
171.3,172.3,172.6,171.1,57830000.0,-0.35
171.9,170.6,172.4,170.6,127000000.0,0.82
170.5,169.6,171.0,169.0,134070000.0,0.71
169.3,167.8,169.9,167.7,167640000.0,0.18
169.0,169.5,169.9,167.5,211520000.0,0.06
168.9,169.7,169.8,168.4,173360000.0,-0.53
169.8,170.0,170.9,169.3,221750000.0,-0.29
170.3,171.6,171.8,170.3,150860000.0,-0.93
171.9,173.1,173.7,171.9,114940000.0,0.0
171.9,171.6,173.2,171.4,126300000.0,-0.06
172.0,171.3,172.0,171.0,109510000.0,0.88
170.5,171.6,172.4,170.5,212600000.0,-1.22
172.6,171.2,172.8,171.0,147470000.0,-0.4
173.3,171.8,173.7,171.3,142110000.0,1.46
170.8,171.3,171.5,170.5,141310000.0,-0.41
171.5,172.6,172.7,171.5,135230000.0,-0.98
173.2,174.0,174.1,172.7,146390000.0,0.06
173.1,172.0,173.1,171.4,201180000.0,0.64
172.0,173.1,173.2,172.0,110780000.0,-0.75
173.3,173.3,174.3,172.4,104480000.0,0.0
173.3,172.9,174.2,172.5,125390000.0,0.52
172.4,174.0,174.2,172.3,122520000.0,-0.4
173.1,173.1,174.7,172.7,96950000.0,-0.46
173.9,173.2,174.4,172.8,109270000.0,0.23
173.5,175.4,175.5,173.5,113240000.0,-1.08
175.4,173.1,175.4,172.9,119140000.0,1.98
172.0,171.9,173.4,171.8,111290000.0,-0.12
172.2,174.8,175.1,171.8,154790000.0,-1.49
174.8,175.6,176.0,174.3,87970000.0,0.4
174.1,173.4,174.3,172.6,113940000.0,0.75
172.8,169.1,173.7,169.1,157790000.0,1.83
169.7,168.5,170.7,167.8,167380000.0,0.83
168.3,171.8,172.9,168.0,303030000.0,-3.77
174.9,177.0,178.5,173.6,199030000.0,-1.13
176.9,178.2,179.2,176.9,198860000.0,-0.39
177.6,178.6,179.5,177.5,127480000.0,-0.39
178.3,177.3,178.8,176.8,176550000.0,0.85
176.8,176.2,177.8,174.8,200560000.0,1.78
173.7,173.5,174.2,172.4,588900000.0,-0.97
175.4,173.7,176.0,173.7,128699999.99999999,1.1
173.5,174.7,174.7,172.7,130430000.0,-0.74
174.8,173.9,175.7,173.6,125000000.0,0.75
173.5,173.3,174.1,171.4,137790000.0,0.12
173.3,173.5,174.1,172.8,111430000.0,-0.17
173.6,172.9,174.5,172.6,102740000.0,0.17
173.3,171.5,173.7,171.4,118260000.0,0.58
172.3,173.0,173.3,171.6,117870000.0,-0.63
173.4,172.1,174.0,172.0,111910000.0,0.7
172.2,175.0,175.3,171.8,149270000.0,-2.1
175.9,175.9,177.0,175.3,132530000.0,0.0
175.9,177.0,177.1,175.0,153010000.0,-0.23
176.3,176.1,177.4,175.9,137000000.0,-0.11
176.5,173.4,177.9,173.4,174320000.0,1.96
173.1,174.0,175.1,172.5,172900000.0,-0.52
